UF;Name;Lat;Long;height;Delta Footprint
GO;Abadia de Goiás;-16.756;-49.44;883;-1.853165285
MG;Abadia dos Dourados;-18.486;-47.4;821;-0.287726818
GO;Abadiânia;-16.254;-48.71;1061;-0.548713101
MG;Abaeté;-19.125;-45.45;614;-0.043888884
PA;Abaetetuba;-1.752;-48.76;6;-0.736265022
CE;Abaiara;-7.359;-39.05;411;-0.086460611
BA;Abaíra;-13.25;-41.66;1056;-1.631370993
BA;Abaré;-8.752;-39.11;368;-0.076695261
PR;Abatiá;-23.304;-50.31;606;-0.550668368
SC;Abdon Batista;-27.611;-51.02;0;-1.391246564
PA;Abel Figueiredo;-4.954;-48.39;195;-0.003537085
SC;Abelardo Luz;-26.6;-52.33;843;-1.438513746
MG;Abre Campo;-20.301;-42.48;871;-0.330807622
PE;Abreu e Lima;-7.912;-34.9;0;-1.021648911
TO;Abreulândia;-9.621;-49.15;264;-0.084168862
MG;Acaiaca;-20.363;-43.14;576;-1.864958393
MA;Açailândia;-4.947;-47.5;239;-0.890511052
BA;Acajutiba;-11.662;-38.02;0;-0.682069991
PA;Acará;-1.961;-48.2;37;-0.41375733
CE;Acarape;-4.224;-38.71;96;-1.850559545
CE;Acaraú;-2.756;-40.12;34;-0.708228022
RN;Acari;-6.436;-36.64;0;-0.84512839
PI;Acauã;-8.215;-41.08;437;-1.189678906
CE;Acopiara;-6.095;-39.45;299;-1.679160341
MT;Acorizal;-15.255;-56.37;0;-1.299299045
AC;Acrelândia;-9.755;-66.76;0;-1.116522128
GO;Acreúna;-17.396;-50.38;503;-1.008592932
RN;Açu;-5.6;-36.91;703;-0.792278745
MG;Açucena;-19.073;-42.5;0;-0.807835224
SP;Adamantina;-21.685;-51.07;425;-1.757767231
GO;Adelândia;-16.415;-50.13;673;-1.782584906
SP;Adolfo;-21.235;-49.64;419;-1.967177307
PR;Adrianópolis;-24.657;-48.99;645;-1.279615287
BA;Adustina;-10.5;-38.1;0;-1.898869053
PE;Afogados da Ingazeira;-7.755;-37.64;0;-0.733982416
RN;Afonso Bezerra;-5.498;-36.5;0;-0.301098085
ES;Afonso Claúdio;-20.074;-41.12;441;-1.934818109
MA;Afonso Cunha;-4.133;-43.32;128;-0.0748277
PE;Afrânio;-8.5;-41.01;471;-1.065517182
