UF;city;Lat;Long;height
GO;Abadia de Goiás;-16.756;-49.44;883
MG;Abadia dos Dourados;-18.486;-47.4;821
GO;Abadiânia;-16.254;-48.71;1061
MG;Abaeté;-19.125;-45.45;614
PA;Abaetetuba;-1.752;-48.76;6
CE;Abaiara;-7.359;-39.05;411
BA;Abaíra;-13.25;-41.66;1056
BA;Abaré;-8.752;-39.11;368
PR;Abatiá;-23.304;-50.31;606
SC;Abdon Batista;-27.611;-51.02;0
PA;Abel Figueiredo;-4.954;-48.39;195
SC;Abelardo Luz;-26.6;-52.33;843
MG;Abre Campo;-20.301;-42.48;871
PE;Abreu e Lima;-7.912;-34.9;0
TO;Abreulândia;-9.621;-49.15;264
MG;Acaiaca;-20.363;-43.14;576
MA;Açailândia;-4.947;-47.5;239
BA;Acajutiba;-11.662;-38.02;0
PA;Acará;-1.961;-48.2;37
CE;Acarape;-4.224;-38.71;96
CE;Acaraú;-2.756;-40.12;34
RN;Acari;-6.436;-36.64;0
PI;Acauã;-8.215;-41.08;437
CE;Acopiara;-6.095;-39.45;299
MT;Acorizal;-15.255;-56.37;0
AC;Acrelândia;-9.755;-66.76;0
GO;Acreúna;-17.396;-50.38;503
RN;Açu;-5.6;-36.91;703
MG;Açucena;-19.073;-42.5;0
SP;Adamantina;-21.685;-51.07;425
GO;Adelândia;-16.415;-50.13;673
SP;Adolfo;-21.235;-49.64;419
PR;Adrianópolis;-24.657;-48.99;645
BA;Adustina;-10.5;-38.1;0
PE;Afogados da Ingazeira;-7.755;-37.64;0
RN;Afonso Bezerra;-5.498;-36.5;0
ES;Afonso Claúdio;-20.074;-41.12;441
MA;Afonso Cunha;-4.133;-43.32;128
PE;Afrânio;-8.5;-41.01;471
PA;Afuá;-0.157;-50.39;0
PE;Agrestina;-8.458;-35.94;0
PI;Agricolândia;-5.76;-42.67;271
SC;Agrolândia;-27.412;-49.75;0
SC;Agronômica;-27.265;-49.71;0
PA;Água Azul do Norte;-6.759;-50.47;286
MG;Água Boa;-17.996;-42.39;424
MT;Água Boa;-14.05;-52.16;349
AL;Água Branca;-9.261;-37.94;0
PB;Água Branca;-7.5;-37.64;0
PI;Água Branca;-5.756;-42.64;235
MS;Água Clara;-20.448;-52.76;429
MG;Água Comprida;-20.056;-48.11;604
SC;Água Doce;-26.998;-51.6;40
MA;Água Doce do Maranhão;-2.755;-42.11;249
ES;Água Doce do Norte;-18.5;-40.98;0
BA;Água Fria;-11.756;-38.77;1004
GO;Água Fria de Goiás;-14.986;-47.78;424
GO;Água Limpa;-18.074;-48.76;633
RN;Água Nova;-6.259;-38.3;0
PE;Água Preta;-8.751;-35.5;0
RS;Água Santa;-28.177;-52.03;0
SP;Aguaí;-22.059;-46.98;643
MG;Aguanil;-20.943;-45.39;875
PE;Águas Belas;-9.111;-37.12;0
SP;Águas da Prata;-21.937;-46.72;1027
SC;Águas de Chapecó;-27.07;-52.99;0
SP;Águas de Lindóia;-22.476;-46.63;934
SP;Águas de Santa Bárbara;-22.756;-49.24;651
SP;Águas de São Pedro;-22.6;-47.76;482
MG;Águas Formosas;-17.082;-40.94;287
SC;Águas Frias;-26.756;-52.76;0
GO;Águas Lindas de Goiás;-15.756;-48.28;1090
SC;Águas Mornas;-27.694;-48.75;0
MG;Águas Vermelhas;-15.755;-41.46;875
RS;Agudo;-29.645;-53.24;0
SP;Agudos;-22.469;-48.99;921
PR;Agudos do Sul;-25.993;-49.34;565
ES;Águia Branca;-18.983;-40.74;149
PB;Aguiar;-7.092;-38.17;265
TO;Aguiarnópolis;-6.6;-47.47;0
MG;Aimorés;-19.496;-41.06;315
BA;Aiquara;-14.129;-39.76;242
CE;Aiuaba;-6.6;-40.12;518
MG;Aiuruoca;-21.976;-44.6;1184
RS;Ajuricaba;-28.239;-53.77;0
MG;Alagoa;-22.171;-44.64;0
PB;Alagoa Grande;-7.158;-35.63;0
PB;Alagoa Nova;-7.071;-35.76;1233
PB;Alagoinha;-6.95;-35.5;465
PE;Alagoinha;-8.466;-36.78;0
PI;Alagoinha do Piauí;-7.008;-40.94;0
BA;Alagoinhas;-12.136;-38.42;0
SP;Alambari;-23.6;-47.76;599
MG;Albertina;-22.251;-46.62;982
MA;Alcântara;-2.409;-44.41;0
CE;Alcântaras;-3.6;-40.5;683
PB;Alcantil;-7.754;-36.06;0
MS;Alcinópolis;-18.324;-53.71;471
BA;Alcobaça;-17.5;-39.2;43
MA;Aldeias Altas;-4.628;-43.47;128
RS;Alecrim;-27.655;-54.76;0
ES;Alegre;-20.756;-41.5;133
RS;Alegrete;-29.758;-55.79;479
PI;Alegrete do Piauí;-7.243;-40.76;0
RS;Alegria;-27.755;-54.06;0
MG;Além Paraíba;-21.756;-42.7;445
PA;Alenquer;-1.942;-54.74;0
RN;Alexandria;-6.413;-38.02;0
GO;Alexânia;-16.082;-48.5;998
MG;Alfenas;-21.429;-45.95;816
ES;Alfredo Chaves;-20.635;-40.75;501
SP;Alfredo Marcondes;-21.955;-51.41;351
MG;Alfredo Vasconcelos;-21.145;-43.78;1072
SC;Alfredo Wagner;-27.75;-49.33;0
PB;Algodão de Jandaíra;-6.905;-36.01;0
PB;Alhandra;-7.439;-34.91;0
PE;Aliança;-7.603;-35.23;289
TO;Aliança do Tocantins;-11.306;-48.94;0
BA;Almadina;-14.751;-39.64;551
TO;Almas;-11.6;-47.17;372
PA;Almeirim;-1.5;-52.6;308
MG;Almenara;-16.184;-40.69;358
RN;Almino Afonso;-6.152;-37.77;0
PR;Almirante Tamandaré;-25.325;-49.31;986
GO;Aloândia;-17.753;-49.48;554
MG;Alpercata;-18.974;-41.97;204
RS;Alpestre;-27.249;-53.04;0
MG;Alpinópolis;-20.756;-46.39;919
MT;Alta Floresta;-9.756;-56.09;0
RO;Alta Floresta d'Oeste;-11.968;-61.95;0
SP;Altair;-20.5;-49.06;497
PA;Altamira;-3.253;-52.26;64
MA;Altamira do Maranhão;-4.058;-45.5;564
PR;Altamira do Paraná;-24.76;-52.71;301
CE;Altaneira;-7.002;-39.74;581
PR;Altãnia;-23.756;-53.9;0
MG;Alterosa;-21.249;-46.14;843
PE;Altinho;-8.49;-36.06;0
SP;Altinópolis;-21.026;-47.37;965
RR;Alto Alegre;2.756;-61.5;64
RS;Alto Alegre;-28.757;-52.99;0
SP;Alto Alegre;-21.6;-50.13;178
MA;Alto Alegre do Maranhão;-4.213;-44.45;0
RO;Alto Alegre do Parecis;-12.128;-61.76;0
MA;Alto Alegre do Pindaré;-3.69;-45.9;447
MT;Alto Araguaia;-17.315;-53.22;653
SC;Alto Bela Vista;-27.458;-51.76;0
MT;Alto Boa Vista;-11.674;-51.39;345
MG;Alto Caparaó;-20.433;-41.76;1034
RN;Alto do Rodrigues;-5.288;-36.76;0
RS;Alto Feliz;-29.392;-51.31;0
MT;Alto Garças;-16.944;-53.5;812
GO;Alto Horizonte;-14.196;-49.34;316
MG;Alto Jequitibá;-20.424;-41.97;663
PI;Alto Longá;-5.251;-42.21;182
MT;Alto Paraguai;-14.5;-56.48;0
RO;Alto Paraíso;-9.751;-63.32;1305
GO;Alto Paraíso de Goiás;-14.133;-47.5;0
PR;Alto Paraná;-23.129;-52.32;407
MA;Alto Parnaíba;-9.111;-45.93;433
PR;Alto Piquiri;-24.028;-53.44;363
MG;Alto Rio Doce;-21.026;-43.41;697
ES;Alto Rio Novo;-19.056;-41.02;585
CE;Alto Santo;-5.5;-38.27;0
MT;Alto Taquari;-17.755;-53.28;875
PI;Altos;-5.038;-42.46;178
SP;Alumínio;-23.5;-47.26;766
AM;Alvarães;-3.221;-64.75;0
MG;Alvarenga;-19.417;-41.73;836
SP;Álvares Florence;-20.321;-49.91;456
SP;Álvares Machado;-22.079;-51.47;356
SP;Álvaro de Carvalho;-22.089;-49.72;539
SP;Alvinlândia;-22.444;-49.76;662
MG;Alvinópolis;-20.107;-43.05;737
RS;Alvorada;-29.99;-51.08;659
TO;Alvorada;-12.48;-49.12;374
MG;Alvorada de Minas;-18.754;-43.37;489
PI;Alvorada do Gurguéia;-8.424;-43.78;414
GO;Alvorada do Norte;-14.481;-46.49;0
PR;Alvorada do Sul;-22.758;-51.23;0
RO;Alvorada d'Oeste;-11.341;-62.29;286
RR;Amajari;3.652;-61.37;0
MS;Amambai;-23.104;-55.23;0
AP;Amapá;2.053;-50.79;34
MA;Amapá do Maranhão;-1.6;-45.93;8
PR;Amaporã;-23.096;-52.79;347
PE;Amaraji;-8.383;-35.45;0
RS;Amaral Ferrador;-30.756;-52.26;0
GO;Amaralina;-13.926;-49.3;351
PI;Amarante;-6.241;-42.76;313
MA;Amarante do Maranhão;-5.6;-46.74;204
BA;Amargosa;-13.03;-39.6;405
AM;Amaturá;-3.364;-68.2;0
BA;Amélia Rodrigues;-12.392;-38.76;108
BA;América Dourada;-11.455;-41.44;797
SP;Americana;-22.754;-47.33;578
GO;Americano do Brasil;-16.255;-49.98;868
SP;Américo Brasiliense;-21.752;-48.1;594
SP;Américo de Campos;-20.299;-49.73;487
RS;Ametista do Sul;-27.361;-53.18;0
CE;Amontada;-3.494;-39.6;18
GO;Amorinópolis;-16.619;-51.09;609
PB;Amparo;-7.6;-37.06;0
SP;Amparo;-22.75;-46.76;599
SE;Amparo de São Francisco;-10.134;-36.93;0
MG;Amparo do Serra;-20.5;-42.75;700
PR;Ampére;-25.915;-53.47;499
AL;Anadia;-9.684;-36.3;0
BA;Anagé;-14.612;-41.14;511
PR;Anahy;-24.752;-53.08;467
PA;Anajás;-0.987;-49.94;26
MA;Anajatuba;-3.264;-44.62;16
SP;Analândia;-22.126;-47.66;729
AM;Anamã;-3.6;-61.4;0
TO;Ananás;-6.365;-48.07;137
PA;Ananindeua;-1.366;-48.37;17
GO;Anápolis;-16.327;-48.95;1111
PA;Anapu;-3.472;-51.2;151
MA;Anapurus;-3.672;-43.12;84
MS;Anastácio;-20.484;-55.75;0
MS;Anaurilândia;-22.188;-52.72;329
ES;Anchieta;-20.755;-40.65;45
SC;Anchieta;-26.5;-53.33;725
BA;Andaraí;-12.755;-41.33;324
PR;Andirá;-23.051;-50.23;426
BA;Andorinha;-10.345;-39.75;466
MG;Andradas;-22.068;-46.6;938
SP;Andradina;-20.756;-51.38;337
RS;André da Rocha;-28.631;-51.6;0
MG;Andrelândia;-21.754;-44.31;1095
SP;Angatuba;-23.49;-48.41;637
MG;Angelândia;-17.602;-42.13;871
MS;Angélica;-22.153;-53.77;348
PE;Angelim;-8.756;-36.29;0
SC;Angelina;-27.6;-48.99;0
BA;Angical;-12.007;-44.69;185
PI;Angical do Piauí;-6.086;-42.74;493
TO;Angico;-6.389;-47.76;0
RN;Angicos;-5.666;-36.6;356
RJ;Angra dos Reis;-23.007;-44.32;944
BA;Anguera;-12.151;-39.25;220
PR;Ângulo;-23.195;-51.92;421
GO;Anhanguera;-18.337;-48.22;640
SP;Anhembi;-22.759;-48.13;492
SP;Anhumas;-22.295;-51.39;413
GO;Anicuns;-16.461;-49.96;745
PI;Anísio de Abreu;-9.189;-43.05;463
SC;Anita Garibaldi;-27.689;-51.13;0
SC;Anitápolis;-27.902;-49.13;0
AM;Anori;-3.757;-61.64;0
RS;Anta Gorda;-28.97;-52;0
BA;Antas;-10.4;-38.33;0
PR;Antonina;-25.429;-48.71;357
CE;Antonina do Norte;-6.758;-39.99;9
PI;Antônio Almeida;-7.219;-44.2;234
BA;Antônio Cardoso;-12.435;-39.12;219
MG;Antônio Carlos;-21.318;-43.75;1121
SC;Antônio Carlos;-27.5;-48.77;0
MG;Antônio Dias;-19.653;-42.76;698
BA;Antônio Gonçalves;-10.6;-40.28;828
MS;Antônio João;-22.191;-55.95;0
RN;Antônio Martins;-6.213;-37.91;0
PR;Antônio Olinto;-25.986;-50.2;879
RS;Antônio Prado;-28.756;-51.28;265
MG;Antônio Prado de Minas;-21.016;-42.11;0
PB;Aparecida;-6.758;-38.09;785
SP;Aparecida;-22.755;-45.23;568
GO;Aparecida de Goiânia;-16.755;-49.24;277
GO;Aparecida do Rio Doce;-18.299;-51.15;339
TO;Aparecida do Rio Negro;-9.952;-47.97;382
MS;Aparecida do Taboado;-20.087;-51.09;0
SP;Aparecida d'Oeste;-20.449;-50.76;609
RJ;Aperibé;-21.621;-42.1;124
ES;Apiacá;-21.154;-41.6;265
MT;Apiacás;-9.5;-57.45;0
SP;Apiaí;-24.5;-48.75;911
MA;Apicum-Açu;-1.461;-45.1;8
SC;Apiúna;-27.036;-49.39;0
RN;Apodi;-5.664;-37.8;0
BA;Aporá;-11.66;-38.08;0
GO;Aporé;-18.965;-51.93;669
BA;Apuarema;-13.756;-39.74;270
PR;Apucarana;-23.6;-51.46;756
AM;Apuí;-7.197;-59.76;0
CE;Apuiarés;-3.949;-39.43;88
SE;Aquidabã;-10.281;-37.02;0
MS;Aquidauana;-20.471;-55.79;0
CE;Aquiraz;-3.901;-38.39;0
SC;Arabutã;-27.125;-52.14;0
PB;Araçagi;-6.756;-35.38;0
MG;Araçaí;-19.199;-44.25;721
SE;Aracaju;-10.911;-37.07;0
SP;Araçariguama;-23.439;-47.06;680
BA;Araçás;-12.211;-38.25;0
CE;Aracati;-4.6;-37.77;0
BA;Aracatu;-14.428;-41.46;667
SP;Araçatuba;-21.259;-50.43;343
BA;Araci;-11.333;-38.97;263
MG;Aracitaba;-21.343;-43.38;794
CE;Aracoiaba;-4.371;-38.75;615
PE;Araçoiaba;-7.759;-35.09;111
SP;Araçoiaba da Serra;-23.5;-47.61;0
ES;Aracruz;-19.755;-40.27;36
GO;Araçu;-16.358;-49.68;403
MG;Araçuaí;-16.755;-42.07;689
GO;Aragarças;-15.756;-52.25;326
GO;Aragoiânia;-16.912;-49.45;792
TO;Aragominas;-7.16;-48.5;156
TO;Araguacema;-8.755;-49.6;210
TO;Araguaçu;-12.931;-49.75;250
MT;Araguaiana;-15.753;-51.75;270
TO;Araguaína;-7.191;-48.26;232
MT;Araguainha;-16.756;-53.03;596
MA;Araguanã;-2.953;-45.67;43
TO;Araguanã;-6.6;-48.64;203
GO;Araguapaz;-15.091;-50.63;336
MG;Araguari;-18.647;-48.19;925
TO;Araguatins;-5.651;-48.12;108
MA;Araioses;-2.756;-41.9;3
MS;Aral Moreira;-22.934;-55.64;0
BA;Aramari;-12.082;-38.5;233
RS;Arambaré;-30.915;-51.5;0
MA;Arame;-4.756;-46.01;286
SP;Aramina;-20.09;-47.79;576
SP;Arandu;-23.134;-49.05;614
MG;Arantina;-21.911;-44.26;1073
SP;Arapeí;-22.674;-44.45;506
AL;Arapiraca;-9.755;-36.66;0
TO;Arapoema;-7.658;-49.06;203
MG;Araponga;-20.667;-42.5;1216
PR;Arapongas;-23.419;-51.42;764
MG;Araporã;-18.436;-49.19;553
PR;Arapoti;-24.158;-49.75;695
MG;Arapuá;-19.034;-46.16;906
PR;Arapuã;-24.316;-51.79;610
MT;Araputanga;-15.471;-58.35;0
SC;Araquari;-26.37;-48.72;16
PB;Arara;-6.755;-35.76;0
SC;Araranguá;-28.935;-49.49;0
SP;Araraquara;-21.759;-48.18;680
SP;Araras;-22.357;-47.38;644
CE;Ararendá;-4.755;-40.75;313
MA;Arari;-3.454;-44.78;0
RS;Araricá;-29.614;-50.93;9
CE;Araripe;-7.213;-40.05;746
PE;Araripina;-7.6;-40.5;606
RJ;Araruama;-22.756;-42.34;48
PB;Araruna;-6.6;-35.74;0
PR;Araruna;-23.932;-52.5;586
BA;Arataca;-15.263;-39.41;158
RS;Aratiba;-27.394;-52.3;0
CE;Aratuba;-4.418;-39.05;602
BA;Aratuípe;-13.079;-39;115
SE;Arauá;-11.262;-37.62;0
PR;Araucária;-25.6;-49.41;891
MG;Araújos;-19.948;-45.13;810
MG;Araxá;-19.6;-46.94;1026
MG;Arceburgo;-21.364;-46.94;702
SP;Arco-Íris;-21.757;-50.47;391
MG;Arcos;-20.282;-45.5;744
PE;Arcoverde;-8.419;-37.05;0
MG;Areado;-21.359;-46.15;791
RJ;Areal;-22.231;-43.11;558
SP;Arealva;-22.029;-48.91;528
PB;Areia;-6.963;-35.69;0
RN;Areia Branca;-4.956;-37.14;0
SE;Areia Branca;-10.756;-37.32;0
PB;Areia de Baraúnas;-7.123;-36.94;0
PB;Areial;-7.061;-35.93;0
SP;Areias;-22.6;-44.7;689
SP;Areiópolis;-22.668;-48.67;646
MT;Arenápolis;-14.45;-56.75;0
GO;Arenópolis;-16.386;-51.6;390
RN;Arês;-6.194;-35.13;0
MG;Argirita;-21.61;-42.75;273
MG;Aricanduva;-17.756;-42.6;941
MG;Arinos;-15.917;-46.11;535
MT;Aripuanã;-10.126;-59.46;0
RO;Ariquemes;-9.913;-63.04;0
SP;Ariranha;-21.188;-48.79;690
PR;Ariranha do Ivaí;-24.386;-51.6;555
RJ;Armação de Búzios;-22.755;-41.76;0
SC;Armazém;-28.262;-49.02;0
CE;Arneiroz;-6.324;-40.13;406
PI;Aroazes;-6.119;-41.79;228
PB;Aroeiras;-7.5;-35.71;0
PI;Arraial;-6.655;-42.5;2
RJ;Arraial do Cabo;-22.966;-42.03;167
TO;Arraias;-12.931;-46.94;404
RS;Arroio do Meio;-29.401;-51.95;0
RS;Arroio do Sal;-29.6;-49.76;0
RS;Arroio do Tigre;-29.333;-53.09;0
RS;Arroio dos Ratos;-30.077;-51.73;0
RS;Arroio Grande;-32.238;-53.09;0
SC;Arroio Trinta;-26.933;-51.34;0
SP;Artur Nogueira;-22.6;-47.17;617
GO;Aruanã;-14.92;-51.08;251
SP;Arujá;-23.396;-46.32;831
SC;Arvoredo;-27.074;-52.46;0
RS;Arvorezinha;-28.756;-52.18;0
SC;Ascurra;-26.955;-49.38;0
SP;Aspásia;-20.159;-50.73;401
PR;Assaí;-23.373;-50.75;464
CE;Assaré;-6.756;-39.76;460
SP;Assis;-22.662;-50.41;0
AC;Assis Brasil;-10.941;-69.6;345
PR;Assis Chateaubriand;-24.42;-53.5;545
PB;Assunção;-7.074;-36.73;538
PI;Assunção do Piauí;-5.756;-41.04;0
MG;Astolfo Dutra;-21.315;-42.76;308
PR;Astorga;-23.233;-51.67;572
AL;Atalaia;-9.5;-36.02;0
PR;Atalaia;-23.151;-52.05;0
AM;Atalaia do Norte;-4.372;-70.19;458
SC;Atalanta;-27.42;-49.78;0
MG;Ataléia;-18.044;-41.11;253
SP;Atibaia;-23.117;-46.6;776
ES;Atilio Vivacqua;-20.914;-41.2;107
TO;Augustinópolis;-5.466;-47.76;143
PA;Augusto Corrêa;-1.022;-46.64;21
MG;Augusto de Lima;-18.109;-44.27;652
RS;Augusto Pestana;-28.5;-53.99;0
RN;Augusto Severo;-5.756;-37.31;0
RS;Áurea;-27.697;-52.05;0
BA;Aurelino Leal;-14.317;-39.33;104
SP;Auriflama;-20.686;-50.6;429
GO;Aurilândia;-16.682;-50.46;551
CE;Aurora;-6.943;-38.97;39
SC;Aurora;-27.315;-49.64;516
PA;Aurora do Pará;-2.134;-47.6;305
TO;Aurora do Tocantins;-12.751;-46.41;0
AM;Autazes;-3.6;-59.13;0
SP;Avaí;-22.147;-49.33;506
SP;Avanhandava;-21.461;-49.95;437
SP;Avaré;-23.099;-48.93;839
PA;Aveiro;-3.606;-55.33;0
PI;Avelino Lopes;-10.137;-43.95;422
GO;Avelinópolis;-16.466;-49.76;723
MA;Axixá;-2.755;-44.05;211
TO;Axixá do Tocantins;-5.616;-47.79;14
TO;Babaçulândia;-7.255;-47.76;238
MA;Bacabal;-4.292;-44.79;18
MA;Bacabeira;-2.971;-44.32;4
MA;Bacuri;-1.75;-45.13;14
MA;Bacurituba;-2.751;-44.74;4
SP;Bady Bassitt;-20.918;-49.45;526
MG;Baependi;-21.959;-44.76;933
RS;Bagé;-31.331;-54.11;0
PA;Bagre;-1.756;-50.13;23
PB;Baía da Traição;-6.688;-34.94;0
RN;Baía Formosa;-6.369;-35.01;0
BA;Baianópolis;-12.306;-44.5;780
PA;Baião;-2.759;-49.67;7
BA;Baixa Grande;-11.96;-40.13;499
PI;Baixa Grande do Ribeiro;-7.756;-45.21;359
CE;Baixio;-6.753;-38.72;263
ES;Baixo Guandu;-19.5;-41.02;140
SP;Balbinos;-21.756;-49.36;439
MG;Baldim;-19.288;-43.96;774
GO;Baliza;-16.196;-52.5;585
SC;Balneário Arroio do Silva;-28.984;-49.41;0
SC;Balneário Barra do Sul;-26.456;-48.61;11
SC;Balneário Camboriú;-26.991;-48.63;0
SC;Balneário Gaivota;-29.157;-49.6;0
RS;Balneário Pinhal;-30.248;-50.23;0
PR;Balsa Nova;-25.6;-49.64;1059
SP;Bálsamo;-20.754;-49.6;506
MA;Balsas;-7.5;-46.04;359
MG;Bambuí;-20.006;-45.98;793
CE;Banabuiú;-5.31;-38.92;181
SP;Bananal;-22.684;-44.32;787
PB;Bananeiras;-6.755;-35.63;0
MG;Bandeira;-15.756;-40.6;939
MG;Bandeira do Sul;-21.753;-46.39;306
SC;Bandeirante;-26.757;-53.64;246
MS;Bandeirantes;-19.918;-54.36;0
PR;Bandeirantes;-23.11;-50.37;594
TO;Bandeirantes do Tocantins;-7.756;-48.6;508
PA;Bannach;-7.348;-50.4;550
BA;Banzaê;-10.6;-38.61;338
