SAT;COORD
 ; 
ABS-2 ;75 
ABS-2A ;75 
ABS-3A;-3
ABS-4 ;61 
ABS-6 ;159 
Al Yah 1 ;53 
Al Yah 2 ;48 
Al Yah 3;-20
AlComSat 1;-25
Alphasat I-XL ;25 
Amazonas 2 ;-61
Amazonas 3 ;-61
Amazonas 5 ;-61
AMC 1 ;-131
AMC 11 ;-131
AMC 15;-105
AMC 16 ;-85
AMC 18 ;-139
AMC 2 ;-85
AMC 21;-125
AMC 3 ;-72
AMC 4 ;-135
AMC 8 ;-135
Amos 17;17 
Amos 3 ;-4
Amos 4;65 
Amos 7 ;-4
AMSC 1 ;-107
Anik F1;-107
Anik F1R;-107
Anik F2 ;-111
Anik F3;-119
Anik G1;-107
APSTAR 6 ;163 
APSTAR 6C;134 
APSTAR 6D ;134 
APSTAR 7;76 
APSTAR 9 ;142 
Arabsat 5A;31 
Arabsat 5C;20 
Arabsat 6A;31 
ARSAT 1;-72
ARSAT 2;-81
AsiaSat 5;101 
Asiasat 6 ;120 
Asiasat 7 ;105 
Asiasat 9;122 
Asiastar 1 ;105 
Astra 1D;-73
Astra 1F;44 
Astra 1G;63 
Astra 1H;-67
Astra 1KR;19 
Astra 1L;19 
Astra 1M;19 
Astra 1N;19 
Astra 2A;28 
Astra 2B;19 
Astra 2C;24 
Astra 2D;57 
Astra 2E;28 
Astra 2F;28 
Astra 2G;28 
Astra 3A;-87
Astra 3B;23 
Astra 4A ;5 
Astra 5B ;31 
Athena Fidus;38 
Azerspace ;46 
Azerspace 2 ;45 
Badr 4 ;26 
Badr 5 ;26 
Badr 6 ;26 
Badr 7 ;26 
Bangabandhu-1 ;119 
BELINTERSAT-1;51 
Brasilsat B4;-92
BRIsat;150 
BSat 3A;110 
BSat 3B;110 
BSat 3C ;110 
Bsat 4A;110 
BulgariaSat-1;2 
ChinaSat 10 ;110 
Chinasat 11;98 
Chinasat 12 ;88 
Chinasat 16 ;110 
ChinaSat 6A ;125 
ChinaSat 6B ;116 
Chinasat 6C ;130 
ChinaSat 9 ;92 
ChinaSat 9A ;101 
Ciel 2 ;-129
COMS 1 ;128 
Directv 10;-103
Directv 11;-99
Directv 12 ;-103
Directv 14 ;-99
Directv 15;-103
Directv 16 ;-101
Directv 5 ;-110
Directv 7S ;-119
Directv 8;-101
Directv 9S ;-101
Echostar 10 ;-110
Echostar 11 ;-110
Echostar 12 ;-86
Echostar 14 ;-119
Echostar 15;-61
Echostar 16 ;-61
Echostar 17 ;-107
Echostar 18 ;-61
Echostar 19 ;-97
Echostar 21 ;10 
Echostar 23 ;-68
Echostar 7;-119
Echostar G1 ;-93
Echostar T1 ;-111
Es'hail 1 ;25 
Es'hail 2;25 
Eutelsat 10A ;10 
Eutelsat 113 West A ;-113
Eutelsat 115 West B ;-115
Eutelsat 117 West A ;-117
Eutelsat 117 West B ;-117
Eutelsat 12 West B ;-12
Eutelsat 12 West D ;-12
Eutelsat 133 West A ;-133
Eutelsat 16A ;16 
Eutelsat 172B;172 
Eutelsat 174A ;174 
Eutelsat 21B ;21 
Eutelsat 33E ;33 
Eutelsat 36B ;36 
Eutelsat 3B ;3 
Eutelsat 48D ;48 
Eutelsat 5 West A ;-5
Eutelsat 5 West B ;-5
Eutelsat 59A ;59 
Eutelsat 65 West A ;-65
Eutelsat 7 West A ;-7
Eutelsat 70B ;70 
Eutelsat 748E ;48 
Eutelsat 7B ;7 
Eutelsat 7C;7 
Eutelsat 8 West B;-8
Eutelsat 9B ;9 
Eutelsat Hot Bird 13B ;13 
Eutelsat Hot Bird 13C ;13 
Eutelsat Hot Bird 13E ;13 
