Modcod;Modulation;FEC;Es_N0;Inforate efficiency bps_Hz;C_over_N
64APSK 162/180;64APSK;162/180;19.129;4.346317238;19.59032946
64APSK 160/180;64APSK;160/180;18.8525;4.292466942;19.25855108
64APSK 150/180;64APSK;150/180;17.3515;4.020822115;17.93133559
64APSK 144/180;64APSK;144/180;16.854;3.856877879;17.32190911
32APSK 162/180;32APSK;162/180;15.9945;3.630729245;16.5549476
64APSK 135/180;64APSK;135/180;15.782;3.614551547;16.19982509
64APSK 126/180;64APSK;126/180;14.688;3.372225214;15.25237984
32APSK 150/180;32APSK;150/180;14.412;3.358824411;15.06391808
32APSK 144/180;32APSK;144/180;13.7555;3.221872345;14.29912713
64APSK 114/180;64APSK;114/180;13.55;3.049123437;14.21109237
32APSK 135/180;32APSK;135/180;12.8145;3.019443195;13.56763166
16APSK 162/180;16APSK;162/180;13.3695;2.902233409;14.07691995
16APSK 160/180;16APSK;160/180;13.1285;2.866275121;13.82830684
32APSK 126/180;32APSK;126/180;12.075;2.817014045;12.7310305
16APSK 150/180;16APSK;150/180;11.7895;2.684885533;12.93782276
16APSK 144/180;16APSK;144/180;11.201;2.575412521;12.25863326
16APSK 135/180;16APSK;135/180;10.358;2.413600224;11.38278905
16APSK 126/180;16APSK;126/180;9.5735;2.251787926;10.65481403
16APSK 120/180;16APSK;120/180;9.0635;2.145511207;10.17946223
16APSK 114/180;16APSK;114/180;8.5405;2.036038196;9.605005356
8PSK 144/180;8PSK;144/180;9.0145;1.936259049;9.543772169
16APSK 108/180;16APSK;108/180;8.0975;1.928163331;9.101578819
8PSK 135/180;8PSK;135/180;8.2095;1.814604548;8.670496956
16APSK 100/180;16APSK;100/180;7.397;1.784330177;8.326742269
8PSK 126/180;8PSK;126/180;7.358;1.692950047;7.821984343
8PSK 120/180;8PSK;120/180;6.883;1.613048572;7.23033994
8PSK 114/180;8PSK;114/180;6.334;1.530744045;6.690206412
8PSK 108/180;8PSK;108/180;5.823;1.449641044;6.15939713
QPSK 150/180;QPSK;150/180;5.2675;1.346072952;5.598070095
8PSK 100/180;8PSK;100/180;5.139;1.34150371;5.407456271
QPSK 144/180;QPSK;144/180;4.775;1.29118843;5.134135059
QPSK 135/180;QPSK;135/180;4.1125;1.210063498;4.39513502
QPSK 126/180;QPSK;126/180;3.469;1.128938565;3.744509645
QPSK 120/180;QPSK;120/180;3.09;1.075656511;3.351296467
QPSK 114/180;QPSK;114/180;2.6275;1.020771989;2.840283398
QPSK 108/180;QPSK;108/180;2.2545;0.966688701;2.454275057
QPSK 100/180;QPSK;100/180;1.7095;0.89457765;1.885246544
QPSK 90/180;QPSK;90/180;1.0355;0.804438836;1.215627266
QPSK 80/180;QPSK;80/180;0.442;0.714300022;0.622283797
QPSK 72/180;QPSK;72/180;-0.181;0.642188971;0.001748932
QPSK 60/180;QPSK;60/180;-1.17875;0.534022394;-0.983941097
QPSK 45/180;QPSK;45/180;-2.525714286;0.398814174;-2.297823997
