Tech;Modcod;Modulation;FEC;Es_N0;Inforate efficiency bps_Hz
DVB-S2x;64APSK-L 162/180;64APSK-L;162/180;18.78;4.346317238
DVB-S2x;64APSK-L 160/180;64APSK-L;160/180;18.49;4.292466942
DVB-S2x;64APSK-L 150/180;64APSK-L;150/180;16.77;4.020822115
DVB-S2;32APSK 9/10;32APSK;09/out;16.05;3.63075
DVB-S2x;64APSK-L 144/180;64APSK-L;144/180;16;3.856877879
DVB-S2x;32APSK 162/180;32APSK;162/180;15.9;3.630729245
DVB-S2;32APSK 8/9;32APSK;08/set;15.69;3.58575
DVB-S2x;64APSK-L 135/180;64APSK-L;135/180;14.93;3.614551547
DVB-S2;32APSK 5/6;32APSK;05/jun;14.28;3.358833333
DVB-S2x;64APSK-L 126/180;64APSK-L;126/180;13.86;3.372225214
DVB-S2;32APSK 4/5;32APSK;04/mai;13.64;3.221833333
DVB-S2x;32APSK 144/180;32APSK;144/180;13.55;3.221872345
DVB-S2x;64APSK-L 120/180;64APSK-L;120/180;13.22;3.213067672
DVB-S2;16APSK 8/9;16APSK;08/set;12.89;2.86625
DVB-S2;32APSK 3/4;32APSK;03/abr;12.73;3.019416667
DVB-S2x;64APSK-L 114/180;64APSK-L;114/180;12.53;3.049123437
DVB-S2x;64APSK-L 108/180;64APSK-L;108/180;11.89;2.887572548
DVB-S2x;32APSK 126/180;32APSK;126/180;11.73;2.817014045
DVB-S2;16APSK 5/6;16APSK;05/jun;11.61;2.684916667
DVB-S2x;16APSK-L 150/180;16APSK-L;150/180;11.38;2.684885533
DVB-S2x;32APSK 120/180;32APSK;120/180;11.18;2.684060579
DVB-S2x;64APSK-L 100/180;64APSK-L;100/180;11.08;2.672171364
DVB-S2;16APSK 4/5;16APSK;04/mai;11.03;2.575416667
DVB-S2x;16APSK-L 144/180;16APSK-L;144/180;10.85;2.575412521
DVB-S2x;32APSK 114/180;32APSK;114/180;10.6;2.547108512
DVB-S2;16APSK 3/4;16APSK;03/abr;10.21;2.413583333
DVB-S2x;16APSK-L 135/180;16APSK-L;135/180;9.96;2.413600224
DVB-S2x;16APSK-L 126/180;16APSK-L;126/180;9.14;2.251787926
DVB-S2;16APSK 2/3;16APSK;02/mar;8.97;2.1455
DVB-S2x;16APSK-L 120/180;16APSK-L;120/180;8.61;2.145511207
DVB-S2x;16APSK-L 114/180;16APSK-L;114/180;8.05;2.036038196
DVB-S2;8PSK 3/4;8PSK;03/abr;7.91;1.814583333
DVB-S2x;16APSK-L 108/180;16APSK-L;108/180;7.55;1.928163331
DVB-S2x;16APSK-L 100/180;16APSK-L;100/180;6.9;1.784330177
DVB-S2;8PSK 2/3;8PSK;02/mar;6.62;1.613083333
DVB-S2x;8PSK-L 120/180;8PSK-L;120/180;6.37;1.613048572
DVB-S2x;16APSK-L 90/180;16APSK-L;90/180;6.05;1.604538735
DVB-S2x;8PSK-L 114/180;8PSK-L;114/180;5.89;1.530744045
DVB-S2;8PSK 3/5;8PSK;03/mai;5.5;1.449666667
DVB-S2x;8PSK-L 108/180;8PSK-L;108/180;5.43;1.449641044
DVB-S2x;16APSK-L 80/180;16APSK-L;80/180;5.3;1.424747293
DVB-S2x;QPSK 150/180;QPSK;150/180;5.2;1.346072952
DVB-S2;QPSK 5/6;QPSK;05/jun;5.18;1.346083333
DVB-S2x;8PSK-L 100/180;8PSK-L;100/180;4.84;1.34150371
DVB-S2x;QPSK 144/180;QPSK;144/180;4.73;1.29118843
DVB-S2;QPSK 4/5;QPSK;04/mai;4.68;1.291166667
DVB-S2x;QPSK 135/180;QPSK;135/180;4.07;1.210063498
DVB-S2x;8PSK-L 90/180;8PSK-L;90/180;4.06;1.206332042
DVB-S2;QPSK 3/4;QPSK;03/abr;4.03;1.210083333
DVB-S2x;QPSK 126/180;QPSK;126/180;3.41;1.128938565
DVB-S2;QPSK 2/3;QPSK;02/mar;3.1;1.075666667
DVB-S2x;QPSK 120/180;QPSK;120/180;3.03;1.075656511
DVB-S2x;QPSK 114/180;QPSK;114/180;2.57;1.020771989
DVB-S2;QPSK 3/5;QPSK;03/mai;2.23;0.966666667
DVB-S2x;QPSK 108/180;QPSK;108/180;2.18;0.966688701
DVB-S2x;QPSK 100/180;QPSK;100/180;1.65;0.89457765
DVB-S2;QPSK 1/2;QPSK;01/fev;1;0.804416667
DVB-S2x;QPSK 90/180;QPSK;90/180;0.96;0.804438836
DVB-S2x;QPSK 80/180;QPSK;80/180;0.37;0.714300022
DVB-S2x;QPSK 72/180;QPSK;72/180;-0.24;0.642188971
DVB-S2;QPSK 2/5;QPSK;02/mai;-0.3;0.642166667
DVB-S2;QPSK 1/3;QPSK;01/mar;-1.24;0.534
DVB-S2x;QPSK 60/180;QPSK;60/180;-1.3;0.534022394
DVB-S2x;QPSK 45/180;QPSK;45/180;-2.66;0.398814174
