;UF;city;Lat;Long;height;availability;availability time
0;GO;Abadia de Goiás;-16.756;-49.44;883.0;99.999;5.0
1;MG;Abadia dos Dourados;-18.486;-47.4;821.0;99.999;5.0
2;GO;Abadiânia;-16.254;-48.71;1061.0;99.999;5.0
3;MG;Abaeté;-19.125;-45.45;614.0;99.999;5.0
4;PA;Abaetetuba;-1.752;-48.76;6.0;99.999;5.0
5;CE;Abaiara;-7.359;-39.05;411.0;99.999;5.0
6;BA;Abaíra;-13.25;-41.66;1056.0;99.999;5.0
7;BA;Abaré;-8.752;-39.11;368.0;99.999;5.0
8;PR;Abatiá;-23.304;-50.31;606.0;99.999;5.0
9;SC;Abdon Batista;-27.611;-51.02;0.0;99.999;5.0
10;PA;Abel Figueiredo;-4.954;-48.39;195.0;99.999;5.0
11;SC;Abelardo Luz;-26.6;-52.33;843.0;99.999;5.0
12;MG;Abre Campo;-20.301;-42.48;871.0;99.999;5.0
13;PE;Abreu e Lima;-7.912;-34.9;0.0;99.997;16.0
14;TO;Abreulândia;-9.621;-49.15;264.0;99.999;5.0
15;MG;Acaiaca;-20.363;-43.14;576.0;99.999;5.0
16;MA;Açailândia;-4.947;-47.5;239.0;99.999;5.0
17;BA;Acajutiba;-11.662;-38.02;0.0;99.998;11.0
18;PA;Acará;-1.961;-48.2;37.0;99.999;5.0
19;CE;Acarape;-4.224;-38.71;96.0;99.998;11.0
20;CE;Acaraú;-2.756;-40.12;34.0;99.998;11.0
21;RN;Acari;-6.436;-36.64;0.0;99.999;5.0
22;PI;Acauã;-8.215;-41.08;437.0;99.999;5.0
23;CE;Acopiara;-6.095;-39.45;299.0;99.999;5.0
24;MT;Acorizal;-15.255;-56.37;0.0;99.999;5.0
25;AC;Acrelândia;-9.755;-66.76;0.0;99.999;5.0
26;GO;Acreúna;-17.396;-50.38;503.0;99.999;5.0
27;RN;Açu;-5.6;-36.91;703.0;99.999;5.0
28;MG;Açucena;-19.073;-42.5;0.0;99.999;5.0
29;SP;Adamantina;-21.685;-51.07;425.0;99.999;5.0
30;GO;Adelândia;-16.415;-50.13;673.0;99.999;5.0
31;SP;Adolfo;-21.235;-49.64;419.0;99.999;5.0
32;PR;Adrianópolis;-24.657;-48.99;645.0;99.999;5.0
33;BA;Adustina;-10.5;-38.1;0.0;99.999;5.0
34;PE;Afogados da Ingazeira;-7.755;-37.64;0.0;99.999;5.0
